Jav_date,Jav_image_big,Jav_sn,Jav_time,Jav_title,Jav_url
 2020-11-22,https://pics.javcdn.pw/cover/7yg9_b.jpg,NPJB-045, 240分鐘,令和の新常識！ヤリモク女子はマッチングアプリで見つけろ！ 出会い系で見つけた激カワ素人と即ハメする方法,https://www.fanbus.in/NPJB-045
 2020-11-22,https://pics.javcdn.pw/cover/7ygo_b.jpg,JUL-384, 160分鐘,四六時中、娘婿のデカチ○ポが欲しくて堪らない義母の誘い 本真ゆり,https://www.fanbus.in/JUL-384
 2020-11-22,https://pics.javcdn.pw/cover/7ygt_b.jpg,JUL-379, 150分鐘,某動画投稿サイト Hカップ料理配信者の人妻 月島さくら32歳 独占AVデビュー！！,https://www.fanbus.in/JUL-379
 2020-11-22,https://pics.javcdn.pw/cover/7ygr_b.jpg,JUL-381, 120分鐘,無意識に僕を挑発する上司の奥さんと豊満タイト着衣セックス Jカップ妻の全裸よりも卑猥な着衣フェティシズム―。 夕季ちとせ,https://www.fanbus.in/JUL-381
 2020-11-22,https://pics.javcdn.pw/cover/7ygu_b.jpg,JUL-378, 120分鐘,地元へ帰省した三日間、ずっと思いを寄せていた親友の母親と時を忘れて愛し合った記録―。 水野優香,https://www.fanbus.in/JUL-378
 2020-11-22,https://pics.javcdn.pw/cover/7yge_b.jpg,NNPJ-414, 120分鐘,裏バイト検証ドキュメント 高田馬場で人気！ ワケアリ巨乳デリヘル嬢ナンパ～ほのかさん（仮）Hカップ 美人と噂の社会人女子バスケ選手の禁止されてる裏オプ本番盗撮成功！！ その後、店外で会ってそのままAVデビュー！！,https://www.fanbus.in/NNPJ-414
 2020-11-22,https://pics.javcdn.pw/cover/7ygq_b.jpg,JUL-382, 120分鐘,愛してはイケない女（兄貴の嫁）にヒトメボレ 阿部乃みく,https://www.fanbus.in/JUL-382
 2020-11-22,https://pics.javcdn.pw/cover/7wta_b.jpg,MISM-186, 160分鐘,腹パンされて膣濡らす 緊縛されて白目イキ 喉奥責めで嗚咽良し 歪な性欲マゾ解放記念日 まゆみさん26歳,https://www.fanbus.in/MISM-186
 2020-11-19,https://pics.javcdn.pw/cover/7y5r_b.jpg,HUNTA-895, 240分鐘,目覚めた彼女のドM気質とボクのドS気質。彼女いない歴イコール年齢のボクになんと彼女が出来た！可愛くて優しくてエッチな彼女も今まで彼氏無し！,https://www.fanbus.in/HUNTA-895
 2020-11-22,https://pics.javcdn.pw/cover/7ygs_b.jpg,JUL-380, 150分鐘,妻には口が裂けても言えません、義母さんを孕ませてしまったなんて…。-1泊2日の温泉旅行で、我を忘れて中出ししまくった僕。- 岡江凛,https://www.fanbus.in/JUL-380
 2020-11-22,https://pics.javcdn.pw/cover/7yia_b.jpg,MISM-188, 190分鐘,喉奥ワンダーランド 泣けど嘔吐けど止まらない最狂ハードイラマチオ 樋口みつは,https://www.fanbus.in/MISM-188
 2020-11-19,https://pics.javcdn.pw/cover/7y7o_b.jpg,TIKP-051, 136分鐘,調教され続けた私…。中出しマゾ奴●に堕ちてゆきます。,https://www.fanbus.in/TIKP-051
 2020-11-22,https://pics.javcdn.pw/cover/7yi4_b.jpg,CAWD-140, 120分鐘,姪調教 最愛の姪っ子を独占したい…嫉妬心にかられた伯父の監禁種付け粘着レ×プ 桜もこ,https://www.fanbus.in/CAWD-140
 2020-11-22,https://pics.javcdn.pw/cover/7yhs_b.jpg,CJOB-076, 240分鐘,身動きできない状態で無理やり射精された僕,https://www.fanbus.in/CJOB-076
 2020-11-22,https://pics.javcdn.pw/cover/7yhb_b.jpg,HND-910, 160分鐘,朱里って、私の好きな人と付き合って超ムカつくから私の男友達全員に指示して1日何度もレ×プしてもらったんだ。 遠隔追姦レ×プ 美谷朱里,https://www.fanbus.in/HND-910
 2020-09-27,https://pics.javcdn.pw/cover/7vj5_b.jpg,EMBZ-211, 130分鐘,［閲覧注意］輪●レ●プ映像 ノーカット無編集・婦女強●犯罪記録 精神崩壊！クロロホルムとスタンガンで昏●、媚薬で乱心、極限まで犯●れイキ堕ちる豊満Kカップ超乳妻！ 白鳥寿美礼,https://www.fanbus.in/EMBZ-211
 2020-11-22,https://pics.javcdn.pw/cover/7yi9_b.jpg,MISM-189, 150分鐘,尻穴界の新星 肛門深すぎ女,https://www.fanbus.in/MISM-189
 2020-11-22,https://pics.javcdn.pw/cover/7ygn_b.jpg,JUL-385, 120分鐘,圧倒的屈辱の寝取られ劇！！ 義父NTR 俺の出張中に…嫁が大嫌いな義父に寝取られて一部始終が納められたその衝撃映像がこれだった…。 通野未帆,https://www.fanbus.in/JUL-385
 2020-11-22,https://pics.javcdn.pw/cover/7yh9_b.jpg,HND-912, 90分鐘,やっとの思いで就職できた下着メーカーなのに、社員全員にセクハラされ、輪●された新卒女子中出しレ×プ 三咲美憂,https://www.fanbus.in/HND-912
 2020-11-22,https://pics.javcdn.pw/cover/7yh7_b.jpg,HND-914, 120分鐘,種無し旦那のためにボロ屋敷へ行き30日間精子を溜めた独身男と濃厚種付けセックスを楽しむ人妻 ゆり,https://www.fanbus.in/HND-914
 2020-11-22,https://pics.javcdn.pw/cover/7yh5_b.jpg,HND-916, 120分鐘,私、ひきこもりだった学生時代からクラスメイトの男子達に種付けされ続けてるの…そう、大人になった今も。。。,https://www.fanbus.in/HND-916
 2020-11-22,https://pics.javcdn.pw/cover/7ygh_b.jpg,NNPJ-411, 150分鐘,【素人個人撮影AV化】何でも信じてくれる性格良さげな女のコ バイト先が暇で解雇寸前らしいので、エッチな撮影に勧誘。 キモオヤジ相手に嬉しそうにSEXするのでAVデビュー映像発売決定！！,https://www.fanbus.in/NNPJ-411
 2020-11-22,https://pics.javcdn.pw/cover/7ygi_b.jpg,NNPJ-410, 120分鐘,オンライン飲み会で出会った高円寺の人気店で働くナチュラル可愛いカフェ店員さん 巨根チ○ポで連続中イキAVデビュー！！,https://www.fanbus.in/NNPJ-410
 2020-11-22,https://pics.javcdn.pw/cover/7ygd_b.jpg,NNPJ-415, 160分鐘,一人ぼっち素人娘発掘プロジェクト！ 上京即自粛で友達いない素人OL女子をリモート飲み会でオナニー調教後会って、めちゃくちゃ中出しSEXしまくった。,https://www.fanbus.in/NNPJ-415
